quality_ok,snapshot_at,observed_at,org,program_count,programs,city,state,status,http_status,error,missing_metrics,source_url,totalRegisteredCameras,totalIntegratedCameras,totalOwnedCameras,totalSharedCameras,totalMaxCameras,subscribedCameras
True,2026-09-15T23:08:15Z,2026-09-15T23:10:07Z,farmingtonpd,2,Connect Farmington,Farmington ,NM,ok,200,,,https://api.fususone.com/api/public/organizations/farmingtonpd/stats/,55,545,545,0,1500,529
True,2026-09-15T23:08:15Z,2026-09-15T23:10:08Z,fayettevillepd,1,Connect Fayetteville,Fayetteville,NC,ok,200,,,https://api.fususone.com/api/public/organizations/fayettevillepd/stats/,1532,533,442,48,1500,439
True,2026-09-15T23:08:15Z,2026-09-15T23:10:09Z,federalwaypdwa,1,Connect Federal Way,Federal Way,WA,ok,200,,,https://api.fususone.com/api/public/organizations/federalwaypdwa/stats/,0,247,247,0,0,242
True,2026-09-15T23:08:15Z,2026-09-15T23:10:10Z,flaglercountysheriff,1,Connect Flagler County,Flagler County,FL,ok,200,,,https://api.fususone.com/api/public/organizations/flaglercountysheriff/stats/,932,2169,1962,0,10000,1942
True,2026-09-15T23:08:15Z,2026-09-15T23:10:11Z,forestparkpd,1,Connect Forest Park,Forest Park,GA,ok,200,,,https://api.fususone.com/api/public/organizations/forestparkpd/stats/,13,10503,239,295,10000,221
True,2026-09-15T23:08:15Z,2026-09-15T23:10:12Z,forsyth,1,Connect Forsyth County,"Forsyth County, NC",SC,ok,200,,,https://api.fususone.com/api/public/organizations/forsyth/stats/,1441,1052,495,183,500,475
True,2026-09-15T23:08:15Z,2026-09-15T23:10:13Z,forsythcosoga,1,Connect Forsyth County,Forsyth County,GA,ok,200,,,https://api.fususone.com/api/public/organizations/forsythcosoga/stats/,776,6923,93,3347,1500,93
True,2026-09-15T23:08:15Z,2026-09-15T23:10:14Z,fortbendcounty,1,Connect Fort Bend,Fort Bend County,TX,ok,200,,,https://api.fususone.com/api/public/organizations/fortbendcounty/stats/,559,205,201,4,500,201
True,2026-09-15T23:08:15Z,2026-09-15T23:10:15Z,fortwaltonbeachpd,1,Connect Fort Walton Beach,Fort Walton Beach,FL,ok,200,,,https://api.fususone.com/api/public/organizations/fortwaltonbeachpd/stats/,6,261,222,9,300,226
True,2026-09-15T23:08:15Z,2026-09-15T23:10:16Z,garypd,1,Connect Gary,Gary,IN,ok,200,,,https://api.fususone.com/api/public/organizations/garypd/stats/,1672,1321,795,0,1500,750
True,2026-09-15T23:08:15Z,2026-09-15T23:10:17Z,glendorapdca,1,Connect Glendora,Glendora,CA,ok,200,,,https://api.fususone.com/api/public/organizations/glendorapdca/stats/,20,101,101,0,0,101
