org,metric,period,previous_count,current_count,change,change_pct,change_per_week,programs,city,state,previous_at,current_at,elapsed_days,from_zero,ranking_eligible,source_url
amarillopd,totalSharedCameras,previous,0,0,0,,0.0,Connect Amarillo,Amarillo,TX,2026-09-15T23:08:25Z,2026-09-15T23:17:36Z,0.006377,True,False,https://api.fususone.com/api/public/organizations/amarillopd/stats/
amarillopd,totalMaxCameras,previous,500,500,0,0.0,0.0,Connect Amarillo,Amarillo,TX,2026-09-15T23:08:25Z,2026-09-15T23:17:36Z,0.006377,False,False,https://api.fususone.com/api/public/organizations/amarillopd/stats/
amarillopd,subscribedCameras,previous,483,483,0,0.0,0.0,Connect Amarillo,Amarillo,TX,2026-09-15T23:08:25Z,2026-09-15T23:17:36Z,0.006377,False,False,https://api.fususone.com/api/public/organizations/amarillopd/stats/
anaheim,totalRegisteredCameras,previous,424,424,0,0.0,0.0,Connect Anaheim,Anaheim,CA,2026-09-15T23:08:26Z,2026-09-15T23:17:37Z,0.006377,False,False,https://api.fususone.com/api/public/organizations/anaheim/stats/
anaheim,totalIntegratedCameras,previous,714,714,0,0.0,0.0,Connect Anaheim,Anaheim,CA,2026-09-15T23:08:26Z,2026-09-15T23:17:37Z,0.006377,False,False,https://api.fususone.com/api/public/organizations/anaheim/stats/
anaheim,totalOwnedCameras,previous,667,667,0,0.0,0.0,Connect Anaheim,Anaheim,CA,2026-09-15T23:08:26Z,2026-09-15T23:17:37Z,0.006377,False,False,https://api.fususone.com/api/public/organizations/anaheim/stats/
anaheim,totalSharedCameras,previous,3,3,0,0.0,0.0,Connect Anaheim,Anaheim,CA,2026-09-15T23:08:26Z,2026-09-15T23:17:37Z,0.006377,False,False,https://api.fususone.com/api/public/organizations/anaheim/stats/
anaheim,totalMaxCameras,previous,1500,1500,0,0.0,0.0,Connect Anaheim,Anaheim,CA,2026-09-15T23:08:26Z,2026-09-15T23:17:37Z,0.006377,False,False,https://api.fususone.com/api/public/organizations/anaheim/stats/
anaheim,subscribedCameras,previous,636,636,0,0.0,0.0,Connect Anaheim,Anaheim,CA,2026-09-15T23:08:26Z,2026-09-15T23:17:37Z,0.006377,False,False,https://api.fususone.com/api/public/organizations/anaheim/stats/
anchoragepdak,totalRegisteredCameras,previous,269,269,0,0.0,0.0,Safe Anchorage,Anchorage,AK,2026-09-15T23:08:27Z,2026-09-15T23:17:38Z,0.006377,False,False,https://api.fususone.com/api/public/organizations/anchoragepdak/stats/
anchoragepdak,totalIntegratedCameras,previous,40,40,0,0.0,0.0,Safe Anchorage,Anchorage,AK,2026-09-15T23:08:27Z,2026-09-15T23:17:38Z,0.006377,False,False,https://api.fususone.com/api/public/organizations/anchoragepdak/stats/
anchoragepdak,totalOwnedCameras,previous,18,18,0,0.0,0.0,Safe Anchorage,Anchorage,AK,2026-09-15T23:08:27Z,2026-09-15T23:17:38Z,0.006377,False,False,https://api.fususone.com/api/public/organizations/anchoragepdak/stats/
anchoragepdak,totalSharedCameras,previous,22,22,0,0.0,0.0,Safe Anchorage,Anchorage,AK,2026-09-15T23:08:27Z,2026-09-15T23:17:38Z,0.006377,False,False,https://api.fususone.com/api/public/organizations/anchoragepdak/stats/
anchoragepdak,totalMaxCameras,previous,0,0,0,,0.0,Safe Anchorage,Anchorage,AK,2026-09-15T23:08:27Z,2026-09-15T23:17:38Z,0.006377,True,False,https://api.fususone.com/api/public/organizations/anchoragepdak/stats/
anchoragepdak,subscribedCameras,previous,18,18,0,0.0,0.0,Safe Anchorage,Anchorage,AK,2026-09-15T23:08:27Z,2026-09-15T23:17:38Z,0.006377,False,False,https://api.fususone.com/api/public/organizations/anchoragepdak/stats/
anokacountysomn,totalRegisteredCameras,previous,374,374,0,0.0,0.0,Anoka County Real Time Crime Center,Anoka County,MN,2026-09-15T23:08:28Z,2026-09-15T23:17:39Z,0.006377,False,False,https://api.fususone.com/api/public/organizations/anokacountysomn/stats/
anokacountysomn,totalIntegratedCameras,previous,2674,2674,0,0.0,0.0,Anoka County Real Time Crime Center,Anoka County,MN,2026-09-15T23:08:28Z,2026-09-15T23:17:39Z,0.006377,False,False,https://api.fususone.com/api/public/organizations/anokacountysomn/stats/
anokacountysomn,totalOwnedCameras,previous,635,635,0,0.0,0.0,Anoka County Real Time Crime Center,Anoka County,MN,2026-09-15T23:08:28Z,2026-09-15T23:17:39Z,0.006377,False,False,https://api.fususone.com/api/public/organizations/anokacountysomn/stats/
anokacountysomn,totalSharedCameras,previous,1721,1721,0,0.0,0.0,Anoka County Real Time Crime Center,Anoka County,MN,2026-09-15T23:08:28Z,2026-09-15T23:17:39Z,0.006377,False,False,https://api.fususone.com/api/public/organizations/anokacountysomn/stats/
